company,name,location,salary,edu,experience,skills,demand,company_type,company_nature,company_scale
华为,云数据库全栈工程师,杭州,20-40K·16薪,本科,3-5年,SQL Shell 微服务架构 后端开发 Linux 高级软件工程师 中级软件工程师,【团队介绍】华为云计算数据库RDS服务，服务于华为云计算底层上的海量客户，为客户提供高可靠高可用服务，关系型数据库如MYSQL POSTGRESQL SQLServer引擎等作为所有系统必不可少的底座，是每个云计算厂商必须角逐的领域。目前RDS服务的客户规模以及实例个数海量递增，急需人手【岗位职责】负责云计算底座上的数据库实例的生命周期管理、计费系统、指标采集与告警、高可用切换、备份与恢复系统等多个方面的代码开发与方案设计,其他,上市公司,500-1000人
华为,高级Java开发工程师,北京,20-40K·14薪,本科,5-10年,Java C++ C Kafka Spring MyBatis MySQL Redis 不接受居家办公 云计算经验 团队管理经验 分布式经验,"1、 本科及以上学历，计算机或相关专业，2、 5年以上相关工作经验，优秀者可放宽至1年3、 至少熟练掌握c/c++、Java、python中一种语言，能够自己动手实现相关方案，熟练掌握常用的数据结构和算法, 熟练使用各种调试和编译工具；4、对技术有兴趣，学习能力强，责任心强，有良好团队协作和沟通能力。5、 具备网络安全产品(防火墙、NDR、零信任等)相关开发、维护经验优先6、有ACM等竞赛奖项者优先7、技能范围：c/c++/java/python、云计算、安全、网络、微服务工作地点 北京、东莞8、工资待遇以实际面试结果为准，职位薪资范围无强约束",其他,上市公司,500-1000人
华为,Java,西安,10-15K·14薪,本科,经验不限,Java Spring SpringCloud JVM MySQL Oracle SQL Server,Java语言，负责服务器端、web端程序的设计及编写要求全日制双一流高校以上学历（双证齐全）,其他,上市公司,500-1000人
华为,高级开发工程师,上海,25-50K·16薪,本科,3-5年,SQL MVC开发 服务器配置 多线程 Spring GIT Maven NoSQL,华为财经数字化方向：1、3年以上的Java开发经验，熟练使用java相关技术和框架（包括Java语言基础/多线程 ；/Spring/Spring mvc/myBatis等），具备数据库应用系统规划及设计能力； 2、熟悉数据库mysql、mongodb以及常用SQL语言； 3、熟悉工具tomcat、Git、Maven； 4、具有较强的学习、分析问题解决问题的能力，具有良好的团队合作精神和与人沟通的能力，能够承担较大的工作压力； 5、有第三方支付或金融系统等开发经验；6、211或985学校毕业，通过英语四六级考试；7、有复杂web系统设计和实现能力，有系统调优经验。,其他,上市公司,500-1000人
华为,Java,杭州,20-40K·14薪,本科,3-5年,Java 计算机/软件工程相关经验 Java开发经验 分布式系统开发经验,"岗位职责（1）负责后台版本开发，承担关键模块的需求分析、设计、核心代码开发及维护工作；（2）保障版本开发质量和进度，保障用户体验；（3） 版本符合公司安全隐私要求，遵从公司DevOps研发流程。专业知识与业务技能要求（1）熟练掌握 Java 及面向对象设计开发，掌握 SOA 架构理念、实现技术；熟悉常见设计模式，熟练掌握 Spring、myBatis 等框架特性及应用经验；（2）熟练掌握 MySQL 应用开发、数据库原理和常用性能优化和扩展技术；（3）熟练使用Redis,Kafka,Spark等主流开源平台的使用。",其他,上市公司,500-1000人
华为,软件开发工程师,南京,10-15K,本科,在校/应届,后端工程师 全栈工程师 Java C/C++ Python,岗位职责在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：（1）完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；（2）创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等；（3）有机会参与业界前沿技术研究和规划，参与开源社区运作，与全球专家一起工作、交流，构建华为在业界影响力。岗位要求1、计算机、软件、通信等相关专业本科及以上学历；工作年限不限；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；5、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织；（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术。,其他,上市公司,500-1000人
华为,软件工程师（前端、后端、测试、算法）,苏州,16-30K·16薪,本科,1-3年,Java 计算机/软件工程相关经验 Java开发经验,关于我们：一、NCE-IP业务产品部部门介绍：NCE（Network Cloud Engine 网络云化引擎）是华为面向运营商数字化转型推出的新一代云化网络自治平台，集管理控制分析于一身，是实现网络资源池化，网络连接自动化和自优化，运维自动化的核心使能系统，是华为智简网络（Intent-Driven Network）解决方案的核心大脑。二、NCE-E业务产品部部门介绍：云是联接、云是服务、云是变革，云是一个大时代。以云为核心的网络重构是数字化转型成功的前提，华为网络NCE（Network Cloud Engine）是网络云化变革的领导者，我们努力打造意图网络与AI智能自动驾驶网络。岗位要求:1.计算机、软件、通信等相关专业一本及以上学历；2.热爱编程，基础扎实，熟悉掌握但不限于JAVA/C/C++/Python等编程语言中的一种或数种，有良好的编程习惯;3具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践,其他,上市公司,500-1000人
华为,中高级Java开发工程师+14薪起,太原,15-26K·14薪,本科,3-5年,Java SpringCloud JVM MySQL,此岗位是异地招聘，办公地点：西安华为研究所全程线上面试，欢迎投递岗位职责：1. 参与后端服务大规模高并发系统的设计优化和开发工作；2. 负责重要项目的需求分析架构设计核心代码的编写；3. 持续的技术研究，以达到优化代码，提高系统性能和稳定性的目的；4. 严格遵守开发流程，编写满足企业级质量标准的代码；5. 主动与团队分享技术知识，提高团队整体技术能力；6. 能够与产品经理前端开发和设计师沟通协作，共同完成产品迭代。任职要求：1. 计算机相关专业本科以上学历，2年及以上Java后端开发经验；2. 扎实的Java编程技术基础，熟悉设计模式数据结构和算法；3. 熟练掌握SpringBootMybatis等服务器端开发技术和框架；4. 熟悉分布式及微服务架构，具有实战经验者优先；5. 熟练掌握SQL语言，对MySQL等数据库性能优化有丰富经验；6. 了解Linux运维知识，能读懂Shell脚本；7. 学习能力强，善于适应和学习新的技术或工作模式。【在技术上可以学到什么】1、有很多平台、服务等待开发，机遇多，不用担心英雄无用武之地；2、有很多技术专家和业务专家，不用担心个人的成长；3、有机会跟全球TOP级别的公司进行直接沟通；4、华为先进的培养制度协助快速上手；5、华为成熟规范的软件开发流程能大幅提升您的代码规范能力。【关于福利】1、项目长期稳定，不定期下午茶，2、节日福利，生日福利，团建聚餐，3、入职缴纳六险一金、社保全额缴纳，4、末加班工资双倍，5、大佬带队，技术前沿，6、有国外出差学习机会,其他,上市公司,500-1000人
华为,Java,杭州,13-26K·14薪,本科,1-3年,IDEA MySQL NoSQL MongoDB java,岗位职责:1. 负责设计、建设Devops、大数据运营、智能化能力应用和落地。2. 优化建立Devops效能指标，建立Devops平台，指导业务改进。3. 深刻理解和挖掘Devops发展趋势，对标业界领先Devops标杆，建设华为云服务Devops生态。岗位要求：1. 两年以上Java开发经验，熟悉SpringBoot框架开发使用，java基础扎实，具备一定的多线程经验。2. 精通Linux操作，熟悉网络、IO、内存等监控排查手段3. 熟悉MySQL/mongodb/redis 相关操作使用，熟练使用mybaits或JPA操作数据库，开发相应功能4. 能够使用脚本语言(Python/shell/...)更佳5. 有nginx/ansible/Kafka/Zookeeper/Elaticsearch等相关经验更佳6. 有k8s/容器/监控方面相关的开发运维经验更佳,其他,上市公司,500-1000人
华为,软件开发工程师,深圳,15-30K,本科,经验不限,后端工程师 全栈工程师 Java JavaScript 计算机/软件工程相关经验 Java开发经验,"科锐国际华为精英研发项目JAVA/Android/C++/Web/H5【岗位职责】1、负责软件开发工作，包括钱包、会员、支付等业务能力的构建；2、负责管理自身项目和需求的优先级、按时高质量交付；3、根据工作安排高效、高质地完成代码编写，确保符合规范的前端代码规范；4、对应用最终效果负责，最终实现极致软件体验。【岗位要求】1、JAVA/Android/C++/Web/H5语言基础扎实；2、强烈的责任心、良好的沟通、推动能力和服务意识；3、较强的沟通表达能力和推动能力,具备良好的逻辑思维能力和同理心，能深刻理解用户诉求。",其他,上市公司,500-1000人
华为,技术开发,西安,15-30K,本科,在校/应届,Java Spring Python,"Base：深圳、西安、东莞、上海、南京、杭州、成都等Java开发工作职责1、负责SAAS软件等产品需求分析，架构设计、系统设计和开发实现，高质量完成版本特性的交付；2、主导或参与系统核心模块的技术竞争力构建，跟踪分析业界发展趋势并完成竞争力分析；3、负责SAAS软件产品工程能力建设，带领团队运用先进的交付模式，持续提升交付效率；岗位要求工统招本科以上学历，2年以上相关工作经验；2、熟悉JAVA软件开发，精通主流开发框架如SPRING MVC、 SPRING CLOUD、SPRING BOOT等，有大中型项目开放式API设计开发实践经验；3、主流数据库技术：精通ORACLE、MYSQL、MONGODB、 PG等主流数据库技术中的一种；4、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、搜索\推荐等机制；5、熟悉ERP产品的解決方案 应用架构、技术架构、部署架构，熟悉ORACLE SOA SUITE具有软件包服务问题分析与处理能力；6、有在大中型项目中的实际应用经验，愿意在TO B领域长耕发展 具有供应领域产品开发经验者优先考虑。测试开发工作职责1.负责自主研发ERP、CRM SCM:SRM等云化SAAS产品端到端的研发测过验证，句括测试策略制定，测试方案设计，计划制定和实施，保证项目测试质量和进展；2.负责测试自动化方案设计和实现，提高测试效率；3.负责产品AI算法测试验证、数据算法验证和测试执行以及缺陷分析，提升产品测试质量：4.沉淀通用测试解決方案，负责关键技术专项建设，开发相关工具平台。5.负责产品可靠可用、韧性测试 性能测试、模糊测试 渗透测试等测试技术落地和测试执行；岗位要求1,熟悉软件自动化测试和软件测试理论，具有2年以上测试经验，至小熟悉JAVA.PYTHON等一门开发语言：2,熟练掌握如性能测试,安全测试，DFX测试等专项能力者优先考虑；「软件开发工程师（前端）」工作职责1、负责SAAS软件等产品客户原始需求分析，前端架构和设计等，高质量完成产品上线交付；2、主导或参与系统核心模块的技术竞争力构建，跟踪分析业界发展趋势,构建产品竞争力能力；3、负责SAAS软件相关子系统及业务流程的优化，研发过程持续改进。岗位要求1、具有计算机及相关专业本科以上学历，2年以上相关工作经验；2、熟悉WEB前端U及交互页面开发，熟练HTMLCSS、JS、TYPESCRIFT等前端技能及性能调优，有VUE/REACT/ANGULAR其中1种框架使用经验；3.具有移动端 H5、小程序等开发经验和浏览器兼容性问题解决经验的优先考虑；大数据开发工作职责1,参与构建SAAS领域流批一体计算引擎、湖仓一体计算引擎构建，支撑公司核心业务实时/离线统一的应用场景；2.负责数据的提取、处理和分析,根据业务发展策略需求，提供数据分析服务，为管理決策和执行提供建议和支撑；3.构建智能化数据分析框架，实现产品数据需求统筹规划，提升产品智能化竞争力；岗位要求1、统招本科以上学历，2年以上工作经验；2、熟悉FLINK/'SPARK/HADOOP/HBASE/HIVE等分布式计算技术，熟悉其运行机制和体系结构;3、具有数据分析和挖掘能力或三年以上大型数据仓库架构和建模经验，熟悉大型互联网企业仓库架构解决方案者优先；",其他,上市公司,500-1000人
华为,Java软件研发工程师,深圳,15-30K·16薪,本科,经验不限,Java Android,【工作职责】1.负责平板与PC智慧办公场景的软件开发工作，需求分析、方案设计、代码编写和单元自测2.寻找华为平板、PC、打印机、显示器等相关领域技术突破点，打造平板与PC产品核心竞争力3.负责Windows/Android/Harmony关键技术模块看护，打造极致产品体验【任职要求】业务知识技能要求：1.有Java开发经验，熟悉常用API，有良好的编码基础2.熟悉Android/Harmony/Linux平台软件开发经验3.善于团队合作，共同打造优秀用户体验的产品4.做事严谨，具有责任感，善于学习，有较强的适应能力和对新技术有热情,其他,上市公司,500-1000人
华为,软件开发工程师,南京,12-20K·15薪,本科,在校/应届,Python Java 不接受居家办公 云计算经验 全栈工程师 C/C++ 计算机/软件工程经验,软件开发工程师—公共开发部毕业时间：2024年工作职责:1、负责软件设计和交付，包括DSP嵌入式软件开发、大规模并行化软件设计、多线程多任务的动态调度，动态内存管理、AI Framework软件框架、编程语言模型等软件关键技术研究；2、负责软件研发及商用过程中的功能、性能、可靠性等问题的定位解决；3、负责软件新技术的预研和产品实现，提升产品优势；4、负责多模软SOC芯片设计、开发和验证工作，包括计算、存储、互联、调度、并行化等关键芯片技术研究，提供持续领先的基带芯片解决方案；5、对外洞察学术界、工业界新方向，通过机器学习、Tensor、大数据等行业新技术的探索，研究在通信、产品化的应用，持续创新，孵化基带新技术，为产品创造核心价值。岗位要求:1、计算机、软件、电子、通信等相关专业本科及以上学历；2、熟练掌握汇编/C/C++编程语言，对CPU、操作系统、Linux驱动有一定的了解；3、有AI、并行化、嵌入式软件开发经验者优先。工作地点：武汉、东莞、西安、南京、北京、上海、杭州、济南、深圳、成都招聘岗位：通用软件开发工程师、应用软件开发工程师、嵌入式软件开发工程师、软件开发工程师、操作系统开发工程师、数据库开发工程师关于我们：公共开发部，引领网络产业进入自动驾驶时代，打造业界竞争力最佳的ICT公共平台，成为软件工程能力提升的标杆，研发效率业界最佳。这里有ICT公共软件平台，支持公司运营商业千亿级收入；这里有NAIE（Network AI Engine）和管控析平台，聚焦人工智能技术，孕育未来自动驾驶网络的核心能力；这里有引领自动驾驶网络跨时代的NCE（Network Cloud Engine）和MAE（MBB Automation Engine）产品；这里更有融合先进ABC（AI、BigData、Cloud）的软件能力，实现软硬件的解耦和基础设施云化，为用户带来人工智能世界的极致体验。欢迎傲娇勇敢的你，加入我们，在领先的网络领域打造世界级的创新。,其他,上市公司,500-1000人
华为,云服务开发工程师,深圳,15-30K·14薪,本科,经验不限,Python 分布式技术 多线程 微服务架构 容器技术 Redis MySQL 软件工程师,"【岗位职责】1、负责云通信产品的设计和开发工作，依托公有云技术，打造极致体验、一点接入服务全球的通信云服务，使能物流快递、出行商旅、房产中介等千行百业；2、采用Devops的开发模式高质量完成云服务产品特性设计及核心代码分析与开发，以及模块设计代码看护；3、完成从客户需求到软件产品定义，架构设计，开发实现，再到上线运维等产品寿命周期中的各个环节；4、创造性解决产品在实现过程中的技术难题，应用前沿技术提高产品核心竞争力，如：服务性能优化，产品调优，引导团队编码能力提升与第三方件的能力提升。 【岗位需求】1、本科及以上学历；2、熟练掌握Java//Python语言之一，掌握IO、多线程、并发、网络等编程原理；3、熟悉微服务架构理论知识，熟悉公有云和Cloud Native系统架构，熟悉容器体系架构，具备K8S、Docker等容器技术栈软件开发相关经验者优先；4、熟练掌握Redis、MySQL、Kafka等常用互联网中间件；具有音视频云服务行业工作经验者优先，具备DevOps互联网项目开发经验者优先。5、善于沟通，具备优秀的技术与业务结合能力，善于发现问题、解决问题, 具备较高的质量意识，具备良好的分析和解决问题的能力，具备较强的钻研精神和持续学习意愿，对负有挑战性的工作充满热情。",其他,上市公司,500-1000人
华为,Java开发工程师,深圳,14-28K·16薪,本科,1-3年,Java Python,地点：深圳、北京工作描述1.对华为云服务和基础设施进行渗透测试（黑盒、白盒）2.跟踪和分析业界最新安全漏洞、研究最新的攻击技术，提高测试能力。3.参与内部红蓝对抗演练，提高整体安全水准。能力要求1.熟练使用常用的安全工具如nmap、Burpsuite、Metasploit等；2.对Web安全整体有深刻理解，具备代码审计和独立漏洞挖掘能力；3.至少掌握一门编程语言Python/C/Go/Ruby/Java等，可以将重复性的工作转换成自动或半自动化脚本实现；4.对工作认真负责，有良好的沟通能力，能够融入团队；5.本科及以上，最低两年工作经验，能力突出者可以特殊招聘。加分项1.活跃于国内外SRC平台；2.Github上有优秀的开源安全项目；3.发表过有深度的技术文章；4.挖掘过知名开源应用或大型厂商高危漏洞；5.知名CTF战队主力成员；,其他,上市公司,500-1000人
华为,Java开发工程师,杭州,15-25K,本科,经验不限,Java开发经验 Java 大数据处理经验 后端工程师 计算机/软件工程相关经验,负责华为云EI图数据库/图计算引擎云服务平台开发和维护，包括需求开发，性能调优等。岗位要求：1.精通java语言，熟悉主流开发框架，在项目中使用过springboot，springmvc等。2.熟悉Linux操作系统，docker，k8s，微服务。3.熟悉主流应用服务架构体系、缓存及常见中间件技术，如nginx、redis、kafka、tomcat等,其他,上市公司,500-1000人
华为,Java开发工程师,南京,15-30K·14薪,本科,1-3年,Java,"Java 开发工程师1、大学本科及以上学历,计算机或相关专业,1年以上工作经验;2、熟悉J2EE规范,熟悉常用的设计模式;熟悉Java及Web的开发和应用;熟练掌握Spring、Mybatis等开源框架;3、熟练掌握面向对象设计,可完成系统单元、子系统的详细设计、编码及单元测试;4、熟练掌握关系型数据库的开发和使用;5、具有多线程、分布式、高并发、高负载、高可用性、系统调优等相关经验者优先;6、熟悉敏捷开发流程,具有较强的管理协调能力和产品思维,善于沟通和应变,具有团队精神;7、至少在一个技术领域有过深入研究或理解,追求技术创新并有践行经验者优先。",其他,上市公司,500-1000人
华为,Java开发工程师,西安,20-40K,本科,经验不限,后端工程师 全栈工程师 Java Spring MyBatis,华为诚招java工程师：    1、本科及以上学历，1年以上Java开发工作经验；     2、扎实的Java基础，掌握数据库、缓存、消息队列、索引等技术；    3、掌握Spring Boot、mybatis等主流开源框架；    4、具备良好的学习、分析、解决问题能力及沟通协作能力。薪资待遇：薪资范围18k-40k，30%以上薪水提升，五险一金，法定年休假，团建活动等。办公地点：陕西西安，环普科技园（华为研究所附近）。招聘岗位：软件开发工程师（java、Python、前端），大数据工程师、软件测试工程师业务方向：主要服务于华为集团IT在西安新成立的研发中心，研发有领导者地位的SaaS产品，引领企业数字化转型。入职培训：安排华为企业文化，业务知识，开发测试技术，敏捷活动等培训，并安排专业导师指导，提升员工的业务和技术能力。学历要求：统招本科一本以上，双一流，211/985院校学历最好。年限要求：软件开发/测试相关工作年限1年以上，优秀同学可以放宽应届毕业。工作时间：9:00-18:30，中午休息1.5小时，工作日不多，一般正常下班，20:35之后有25元夜宵补助，周末加班双薪。法定假日三薪。质量与流程IT部(简称集团IT)是华为公司最贴近互联网的技术部门之一，涉及移动互联网、大数据与AI、分布式计算、私有云/混合云等技术。利用华为公司丰富的场景、数据、技术和算力，打造全球领先的SaaS产品助力企业数字化转型，支撑华为未来3-5年收入达到1000亿美金所需要的平台，工具和智能系统，打造华为公司的最强智慧大脑。期待对数字化、智能化IT充满好奇心、极客探索的你，与我们一起并肩作战!要求有一年及以上工作经验，工作地西安雁塔区环普三期。,其他,上市公司,500-1000人
华为,后端开发工程师,东莞,15-30K,本科,经验不限,Java Golang Python Spring Kafka JVM MySQL 云计算经验 大数据经验,- 熟练Java、Go、C/C++、Python 中至少一门编程语言，对数据结构和算法设计有较为深刻的理解；- 具有windows、unix、linux等主流平台工程经验；- 优秀的分析问题和解决问题的能力，勇于解决难题；-  强烈的上进心和求知欲，较强的学习能力和沟通能力，具备良好的团队合作精神。- 有一定的项目开发经验和软件工程意识；,其他,上市公司,500-1000人
华为,Java,杭州,20-35K·15薪,本科,经验不限,后端工程师 Java C/C++ Java开发经验 大数据处理经验,1.大数据云服务开发工程师岗位职责：1、参与华为云大数据服务、产品的能力建设；承担相关服务、产品的技术架构设计和研发工作，打造面向未来、业界一流的大数据技术；2、参与华为云大数据服务体验提升工作，通过业界对比分析，倾听客户反馈，问题分析等手段打造技术领先、体验优秀的大数据云服务；3、参与华为云大数据重大市场项目技术比拼、问题攻关，支撑大数据市场项目成功；专业知识：1、具备良好的计算机、软件工程等专业领域基础知识；2、具备云计算、高性能计算相关领域开发维护相关经验；3、工作思路清晰，较好的沟通能力和技术学习能力，拥有良好的编码习惯，有很强的自学能力和自我提高的愿望；业务技能：1、至少精通C、C++、Java、Python中的一种；2、有完整的项目开发经验，具备系统核心模块看护经验者优先；3、有大数据相关经验，熟悉Hadoop/Spark/Hive/Oozie/Flume/Flink等开源大数据技术优先；4、有云服务化开发经验，DevOps实践经验，开源社区项目代码贡献者优先；,其他,上市公司,500-1000人
华为,软件开发工程师 (Java) -- 华为OD,西安,15-16K,本科,3-5年,后端工程师 Java Spring MyBatis Java开发经验 计算机/软件工程相关经验,软件开发工程师 (java)1、统招本科学历（一本），3年相关工作经验2、JAVA基础扎实，熟悉JVM 工作原理并掌握常见性能调优方法3、熟悉Spring、Mybatis等开发框架，熟悉常用中间件Tomcat、Mg等；4、具备良好的文档编制习惯和代码书写规范；,其他,上市公司,500-1000人
华为,软件工程师,咸阳,15-30K·15薪,本科,3-5年,后端工程师 全栈工程师 Java Spring MySQL 计算机/软件工程相关经验 Java开发经验 分布式系统开发经验 后端前端测试算法都有,"软件开发工程师(java)1. 统招本科学历，一年及以上相关经验；2. JAVA基础扎实，熟悉JVM工作原理并掌握常见性能调优方法；3. 熟悉Spring Cloud微服务架构以及Redis、MQ、APl、Docker、K8S等常用相关技术；4. 具备良好的文档编制习惯和代码书写规范。软件开发工程师(前端)1 统招本科以上学历，一年及以上相关经验；2. 熟练使用JavaScript (ESS, ES6) , 熟恶vue、React前端框架并有实际的开发经验；3. 具备良好的学习能力，沟通能力优秀，具有良好的团队协作精神。软件测试工程师1. 统招本科以上学历，一年及以上相关经验；2. 熟悉自动化测试理论并有相关测试经验.，能主导开展白动化专项测试至少热悉掌握一门开发语言，并运用到自动化项目中；3. 理解沟通能力强，工作积极主动，有团队精神。大数据开发工程师1. 统招本科以上学历，一年及以上相关经验；2. 熟悉flink、spark、 hadoop、 hbase、hive等分布式计算技术，理解其运行机制和体系结构；3.一年以上大型数据仓库架构和建模经验，熟悉大型互联网企业仓库架构解决方案者优先。（西安/深圳）",其他,上市公司,500-1000人
华为,Java 高级软件开发工程师,南京,20-40K,本科,3-5年,Hadoop Java 数据库,JAVA 高级软件开发工程师【岗位职责】负责大数据产品的版本构建和持续集成【岗位要求】1、具备2年以上Java开发经验，熟悉Java Web开发，精通Spring/Hibernate框架，精通Restful编程，熟悉Java编程模式，熟悉Java多线程编程，熟悉常用的Java/Web安全编码规则；2、精通常用中间件如：Tomcat/Weblogic/WebSphere中的一种，具备丰富的部署，调测经验；3、熟悉Linux操作系统，熟练掌握常用的命令，并具备一定的shell的编程经验以及python编程经验；4、熟练使用各种版本控制工具(CVS/SVN/GIT)，项目管理工具(Maven/ANT)及IDE(Eclipse/MyEclipse/Intellij IDEA；5、具备大数据开发经验，熟悉Hadoop/Hive/HBase/Spark开发者优先；6、工作积极主动，细致踏实，有责任心，具备良好的团队合作意识及沟通能力，能承受较大的工作压力；,其他,上市公司,500-1000人
华为,软件开发工程师,东莞,20-21K·14薪,本科,在校/应届,后端工程师 Java 计算机/软件工程相关经验 英语读写能力优秀,【23届留学生招聘】【华为软件开发岗位招聘】ICT产品与解决方案--公共开发部2023届校招介绍：1、部门介绍负责打造领先的自动驾驶网络解决方案，构筑可信、智简的ICT软件基础平台，成就客户最佳网络，支撑公司ICT业务商业成功。负责下一代运维系统的研发，基于AI、大数据、云计算技术，实现网络的自动、自愈、自优，使能电信业务的敏捷创新、极致体验和智能运维，引领网络产业进入自动驾驶时代； 负责ICT领域软件基础平台开发，提供OS、DB、协议和安全组件、AI中间件等基础运行环境； 2、岗位描述：（1）计算机、软件、通信等相关专业本科及以上学历；（2）热爱编程，基础扎实，熟悉掌握但不限于Java/C++/C/Python/JS/HTML/GO等编程语言中的一种或多种3、工作地点：东莞松山湖溪流背坡村（欧洲小镇）,其他,上市公司,500-1000人
华为,软件开发工程师（Java）,西安,25-50K·15薪,本科,3-5年,Java Spring MyBatis Java开发经验,1、统招本科以上学历，5年以上相关工作经验；2、JAVA基础扎实，充分理解面向对象，熟悉io、nio、多线程、设计模式、通信协议等基础技术；熟悉JVM 工作原理并掌握常见性能调优方法；3、熟悉Spring、Springmvc、Mybatis、Hibernate等常用开发框架及特征，熟悉常用中间件Tomcat、Mq、Kafka等；4、熟悉单元测试用例开发；熟悉软件技术文档的编写；5、具备良好的文档编制习惯和代码书写规范；1、负责SaaS软件等产品特性的系统设计、核心开发与交付及运维，构建软件工程能力。2、主导或参与客户原始需求分析、系统设计等，能够与团队融洽协作，高质量完成核心交付。3、主导或参与系统核心模块的技术竞争力构建，跟踪分析业界发展趋势并完成竞争力分析。4、负责相关子系统及业务流程的优化，研发过程持续改进,其他,上市公司,500-1000人
华为,Java/Python开发工程师-成都,成都,20-40K·13薪,本科,3-5年,数据库内核,华为正式岗位华为云数据库团队招聘，如果您对云计算、数据库领域感兴趣，欢迎沟通了解。岗位职责：1、负责华为云数据库迁移复制服务、数据管理服务、管控系统等核心组件/云服务的设计及开发；2、负责华为云数据库业务架构向技术架构的梳理；3、负责华为云数据库后台核心服务的开发支持；岗位要求：1、掌握java/python至少一门语言，理解该语言涉及的基础框架，熟悉Spring、MyBatis常用框架，熟悉dubbo、grpc、https等通信框架或技术熟悉Kafka、Redis等中间件，了解其原理、机制;2、熟悉mysql/pgsql/mongodb/redis等至少一种数据库，对其运行原理有较好的理解；3、熟悉Linux常用工具、命令，有较好的诊断、调优技能，对docker容器熟悉者优先；4、具有较好的沟通、协调能力，思路清晰，善于思考，能独立分析和解决问题；5、熟悉大规模高并发互联网应用的设计和开发经验者优先；6、熟悉常规的分布式架构，熟悉缓存、消息队列等开源中间件者优先；地域：西安、杭州、北京、南京、深圳、上海、成都、武汉地域：西安、杭州、北京、南京、深圳、上海、成都、武汉,其他,上市公司,500-1000人
华为,云服务开发,杭州,15-30K·15薪,本科,经验不限,Shell 微服务架构 容器技术 分布式技术 Redis JAVA,在我们这里你可以体验到包括但不限于以下：1、 独立负责微服务的开发、上线、维护，独当一面的压力与更好更优秀的成长2、 将负责新需求、新特性的分析、开发、自测，完整的需求开发过程，充满挑战与机遇3、 优秀的技术氛围，可以参与到组内每周一次的技术研讨会，和同事一起研讨最新的技术、组织代码CodeReview4、 优秀的大牛同事，和曾任BAT、IBM、MS等公司的技术大牛一起构建乾坤云生态5、 入职后提供导师一对一带新，快速掌握业务，适应新环境我们希望你可以拥有以下特质：1、 熟悉SpringBoot及其常见周边组件的使用2、 熟悉Mysql或其他关系型数据库3、 有Redis、kafka、Zoopkeeper等常见中间件的使用经验者优先4、 有Hadoop生态圈，如hdfs、hbase、spark、flink等组件开发经验者优先5、 熟悉Linux常用指令并能熟练使用shell脚本6、 有docker使用经验者优先7、 对技术有一定的追求，丰富的创新热情,其他,上市公司,500-1000人
华为,Java,长沙,14-28K·14薪,本科,经验不限,Java C++ Python Spring MyBatis Elasticsearch 不接受居家办公 MySQL Redis SQL Server 架构设计经验 云计算经验 分布式经验 Java Boot Java Spring,岗位职责一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；二、软件测试工程师：1. 热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功底；2.有web开发或测试经验、自动化开发或测试经验者优先。3.熟练掌握系统测试、功能测试、专项测试、软件测试、韧性测试、安全测试方法中的一种或多种测试方法，有相关测试语言/脚本的编写和实践经验优先，也可接受纯测试经验的。4.具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；三、算法工程师：1、熟练掌握Java/C/C++/Python其中一个或多个编程语言，有扎实的编程功底；2、熟悉机器学习、深度学习或图像算法。岗位要求本科及以上学历，计算机、软件工程、通信等相关专业优先岗位亮点公司福利：1. 底薪+绩效+项目奖金+年终奖；2. 缴纳社保及五险一金；3.一年数次考评，薪资可上浮~4.带薪年假5-15天，双休。规范的新人培养机制，入职半年有导师一带一带着适应。,其他,上市公司,500-1000人
