company,name,location,salary,edu,experience,skills,demand,company_type,company_nature,company_scale
华特云创,网络运维工程师,深圳,5-6K,大专,1-3年,网络协议 网络交换技术 网络工程师证 网络设备 安全运维 服务器配置,1、大学专科以上学历，通信、计算机专业毕业2、熟悉TCP/IP协议、常用路由协议、防火墙技术的工作原理3、熟悉思科交换机、华为交换机、深信服防火墙及上网行为设备、无线网络设备、服务器、弱电设备的维护与管理4、具备一定的网络常识并能解决一般的网络故障和分析能力5、具备良好的沟通能力和团队合作精神，学习力强，工作积极主动，耐心细致，责任心强，具有吃苦耐劳的精神6、具备思科、华为网络工程师认证证书优先7、具备综合布线经验并有强弱电实施能力，有电工证者优先8、具备综合视频项目布线、安装实施经验者优先公司福利：周末双休（除特殊应急响应）、五险一金、年终奖,互联网,外资（非欧美）,1000-5000人
科士达,服务器高级工程师,深圳,15-20K·13薪,本科,5-10年,服务器运维 数据备份 虚拟化,工作职责:1、负责公司所有Windows/Linux服务器的安装配置及日常运维管理（服务器的搭建部署配置，日常巡检，故障排查，漏洞修复，优化，备份恢复等工作）;2、负责公司超融合平台的日常运维管理;3、负责公司备份系统的日常维护（数据备份验证、容灾演练等）;及IBM存储的日常运维管理;4、负责公司VMWare虚拟化平台项目实施及运维管理;5、负责公司桌面虚拟化项目的日常运维管理;6、完成上级领导交办的其他工作。任职资格:1、计算机类和相关专业本科及以上学历；2、三年以上服务器运维经验，熟练掌握Windows/Linux的配置管理与应用管理，有丰富的安装、配置、排错和优化经验.了解Linux、Windows操作系统及各类高可用集群和负载均衡技术；3、熟悉超融合平台的运维管理；4、熟练VMWare虚拟化架构技术，具有虚拟化的搭建和运维经验，对VMWare的存储，灾备，网络，安全，升级，虚拟机管理，监控和性能等有深刻的理解; 具有VMware VCP 证书者优先;5、熟悉主流的国内外备份容灾系统（至少一款）及存储管理经验；6、熟悉和灵活运用Shell或Python之一语言，具备编写脚本提高运维效率的能力；；7、熟悉常用开源软件部署、配置、调优和监控维护，如:Zabbix等；8、具备良好的团队合作精神，高度的责任感，善于沟通，有创新精神，能够承受压力；,其他,民营公司,500-1000人
宏煌科技,IT运维工程师,深圳,8-13K·13薪,大专,3-5年,Java 系统运维 自动化运维 应用运维 安全运维 大数据运维 数据库运维,"职责：　　1、参与项目需求的调研、讨论，提出优化建议;　　2、负责对接项目方开展项目的研发、实施，确保项目按时保质完成;　　3、负责对内开展系统相关的培训工作;　　4、及时响应并处理系统故障，保障系统的稳定运行;　　5、完成领导交办的其他工作。　　任职要求：　　1、计算机或相关专业;　　2、3年及以上计算机软件的工作经验；　　3、精通j2ee平台(webshpere,weblogic等)，了解SSO，精通B/S体系架构下的应用开发技术;熟悉主流网络设备的安装和调试，熟悉网络结构、服务器、Oracel数据库等技术;熟悉CMM软件开发管理过程，有良好的编程规范及开发技能;　　4、具有良好的职业道德，较强的沟通协调及语言表达能力;　　5、工作认真、细致、有责任心，待人热情有耐心。",互联网,民营公司,50-150人
共济科技,运维架构师,深圳,30-50K,本科,10年以上,运维架构,1.负责运维平台技术洞察和规划、技术选型；2.负责运维平台系统架构（含业务架构、数据架构、应用架构、技术架构）设计、优化和演进；3.负责运维平台和工具建设落地；4.主导进行运维平台的技术难题攻关、掌握相关的技术架构和原理，能够从运维架构角度主动识别方案风险，并给出专业的解决方案；5.研究探索前沿技术，持续提高运维效率，降低维护成本等；6.建立和完善规范化的运维体系，保障生产系统可靠，安全，稳定地运行；7.不断研发与探索运维自动化及各类创新途径，实现运维全流程自动化，缩短运维响应时间，减低运维成本；8.通过培训，知识库建设，工具平台建设，流程优化等手段，提升一线服务团队专业度；任职要求1.大学本科及以上学历，计算机或软件工程等相关统招专业，10年以上IT运维领域开发经验。2.有自动化、监控等运维平台规划和研发经验，运维过1000+台服务器（云服务器也可以）的工作经验。3.精通企业级IT和互联网业务运维系统架构设计范式和业办趋势，独立主导过大规模企业运维系统分析和架构设计，有基于业务需求、业务及技术发展趋势规划产品路标的能力。4.具备软件产品整体架构设计能力，有大型系统软件架构设计的成功案例；5、精通企业的云服务 IT 技术栈（虚拟化、容器、数据库、中间件、 OS ( Linux 、 Windows )、应用运维等），深入理解运维体系及其中的 CMDB 、 ITSM 、监控、自动化、 CMP 等领域产品设计原理；6、有资深云平台运维经验和技术能力（ Python )，精通云原生相关技术，对 SRE 、 devops 有深入理解；能够作为技术部的业务负责人；能够主导技术方案和系统运维架构评审，掌握相关架构和原理，能够从运维交付主动识别方案风险，并给出专业的解决方案；7、乐于接受挑战，组织沟通能力强，认可运维工作的责任和担当，能从解决问题过程中找到乐趣；1.负责运维平台技术洞察和规划、技术选型；2.负责运维平台系统架构（含业务架构、数据架构、应用架构、技术架构）设计、优化和演进；3.负责运维平台和工具建设落地；4.主导进行运维平台的技术难题攻关、掌握相关的技术架构和原理，能够从运维架构角度主动识别方案风险，并给出专业的解决方案；5.研究探索前沿技术，持续提高运维效率，降低维护成本等；6.建立和完善规范化的运维体系，保障生产系统可靠，安全，稳定地运行；7.不断研发与探索运维自动化及各类创新途径，实现运维全流程自动化，缩短运维响应时间，减低运维成本；8.通过培训，知识库建设，工具平台建设，流程优化等手段，提升一线服务团队专业度；任职要求1.大学本科及以上学历，计算机或软件工程等相关统招专业，10年以上IT运维领域开发经验。2.有自动化、监控等运维平台规划和研发经验，运维过1000+台服务器（云服务器也可以）的工作经验。3.精通企业级IT和互联网业务运维系统架构设计范式和业办趋势，独立主导过大规模企业运维系统分析和架构设计，有基于业务需求、业务及技术发展趋势规划产品路标的能力。4.具备软件产品整体架构设计能力，有大型系统软件架构设计的成功案例；5、精通企业的云服务 IT 技术栈（虚拟化、容器、数据库、中间件、 OS ( Linux 、 Windows )、应用运维等），深入理解运维体系及其中的 CMDB 、 ITSM 、监控、自动化、 CMP 等领域产品设计原理；6、有资深云平台运维经验和技术能力（ Python )，精通云原生相关技术，对 SRE 、 devops 有深入理解；能够作为技术部的业务负责人；能够主导技术方案和系统运维架构评审，掌握相关架构和原理，能够从运维交付主动识别方案风险，并给出专业的解决方案；7、乐于接受挑战，组织沟通能力强，认可运维工作的责任和担当，能从解决问题过程中找到乐趣；,互联网,民营公司,少于50人
哈喽科技,高级运维工程师,深圳,18-27K,大专,5-10年,Python/Shell K8S/AWS 搜索引擎技术 容器技术/自动化运维,"岗位描述：1、负责公司业务发布平台和基础平台运维保障； 2、负责项目环境的配置、部署、监控等工作； 3、负责公司CI、CD工具的建设和维护，包括但不限于生产及测试环境监控告警、自动化部署、自动化扩容和缩容； 4、深入理解数据平台架构，发现并解决重大故障及性能瓶颈，打造一流的数据平台； 5、熟悉运维相关技术，包括运维自动化技术，云服务器，虚拟化技术，监控技术，容器技术等； 6、协调开发，测试，运维等各个团队，推进公司DevOps相关工作，提高线上产品运行质量； 岗位要求： 1、大专及以上学历，五年以上工作经验，深入理解linux系统，计算机或者相关专业优先； 2、精通tomcat,nginx,lvs, jenkins、rundeck等软件，能规划一套应用自动化集成部署方案; 3、熟悉TCP/IP知识，有一定网络基础，深刻理解内部机制和原理，能对常见网络故障排查及快速故障处理； 4、熟悉NoSQL（Redis、MongoDB、Elasticsearch）、关系型数据库（Oracle、MySQL）使用场景，能对其进行安装、配置、调优及快速故障处理； 5、熟练掌握jenkins等CI、CD工具，zabbix、prometheus等监控工具使用，有docker、k8s、rancher等容器技术实施和运维经验优先考虑； 6、具备一定的开发能力，精通一门以上脚本语言(shell、python、go等)； 7、精通阿里云、AWS等云平台的使用； 8、有从事过区块链或金融行业相关的工作经验的优先。 9、良好的沟通合作能力，热爱技术并善于钻研。能主动思考，有解决疑难问题的毅力和决心。强烈的责任心与主动性，并能自我驱动成长。薪资福利：1）我们提供高于行业平均水平的薪酬，高薪+绩效奖金+项目奖金+股权激励；2）员工依法享受国家的法定假日，如婚假、丧假、产假、工伤假等；3）在公司连续服务满一年的员工可享受5天的带薪年假；4）公司入职就买五险一金；5）公司注重员工身心健康，鼓励劳逸结合，定期组织篮球、羽毛球等活动，6）国家法定节假日，如端午节、中秋节都会有精美礼品发放；7）每月举办生日会，并有精美礼品赠送；8）公司很重视团队建设，设立了团建基金，可享受拓展、市内外旅游等；9）公司每年都会组织年会、发放年终奖和开工利是；",互联网,国企,5000-10000人
Shopee,Kubernetes运维工程师,深圳,30-60K·15薪,本科,3-5年,自动化运维 容器技术 Kubernetes,"职位描述：1. 负责公司内Kubernetes集群平台的日常运维； 2. 负责梳理提炼用户的日常问题和需求，对平台运营环境中存在的问题进行定期反馈和推动改善； 3. 参与自动化运维平台规划设计、实现及优化工作，提升集群与平台稳定性；4. 负责Kubernetes平台的运营优化、预算，制定相关运营规划；5. 负责7*24小时监控响应，解决运营中遇到的各种问题。任职要求:1.  本科及以上学历，计算机及相关专业，3年以上相关工作经验；2.  熟悉linux操作系统，网络、存储、安全等计算机体系结构层面的知识，尤其是常见内核态问题的排查分析；3.  熟练使用Shell/Python等脚本语言；4.  熟悉容器编排理念，有Mesos/Kubernetes/docker等相关安装、运维实践经验优先；5.  熟悉Nginx, Haproxy等接入层技术方案，有相关经验优先；6.  熟悉Ansible, salt-stack等自动化工具优先；7.  有Prometheus/Grafana等监控系统构建、配置、使用经验优先 。",其他,民营公司,少于50人
兴业云,桌面运维工程师,深圳,3-6K,中专/中技,1-3年,桌面运维 系统运维 网络运维,"技能要求：网络安全，系统运维，桌面运维，服务器运维岗位职责1.负责公司内部局域网络日常管理、监督、维护，确保公司网络的正常运行；2.进行办公设备的日常维护及管理；技术档案维护；3.负责病毒的查杀，维护网络系统安全；4.处理网络及计算机故障；5.负责内部信息系统建设、维护；进行域名、后台数据、邮箱管理。任职资格1.计算机或IT相关专业,1年以上的网络管理、服务器网管工作经验优先考虑；2.学习能力强，较好的沟通和协作能力，极强的执行力，具备良好的服务意识；5.该岗位主要服务公司高层领导，要求个人形象良好及出色的沟通能力。工作时间及福利待遇：享国家法定假日，早八晚六，双休，购买五险一金，年终绩效奖金。",互联网,外资（非欧美）,1000-5000人
环诚智能装备,助理电气工程师,深圳,6-9K,大专,经验不限,自动化运维,1，学过三菱PLC，2，电气自动化，电子技术类等等相关专业3，大专或以上4，能全国出差按照劳动法薪资标准（五天八小时制）基本工资+绩效工资+加班费+住房补助+伙食补助+出差补助以上职位一经录用购买社保；公司根据业绩安排国内外旅游活动；年终公司根据达标业绩，个人表现发放年终奖；公司安排出差的员工发放出差补助；如个人有足够能力，可在本公司培训发展为技术员&技术工程师；工作地址：深圳市龙华区大浪街道丽荣路1号国乐科技园1栋902西区,互联网,民营公司,150-500人
江南月,高级运维工程师,深圳,15-20K,本科,3-5年,网络运维 系统运维 DBA Python/Shell Redis MySQL/Oracle 计算机相关专业 运维经验 运维开发经验,岗位职责：1.负责服务器日常运维.部署.监控.系统优化等工作，保证线上环境稳定运行；2.负责项目内部开发环境和测试环境的建立.维护和日常管理工作，确保开发和测试正常进行；3.及时响应及处理客户环境各类异常和故障；4.熟练搭建.使用各类监控平台和工具，对线上各种业务及系统做到时时监控，并且能够根据需求调整监控模板等；5.能够与研发密切配合，优化部署架构，提升平台稳定性，能够快速定位技术问题，保证线上环境的高效运行。任职要求：1.大专及以上学历，计算机相关专业，2年或以上服务器运维工作经验；3.擅长Linux系统的运维管理，熟练搭建linux.nginx.java.myql运行环境；熟练使用Shell编程.Python.批处理等脚本语言，以及awk.ed.grep等命令；4.熟练安装.配置及优化Naco.Tomcat.Nginx.Redi.KeepAlive等中间9件；5.熟练安装.配置及优化Myql或Oracle，以及主从配置.MHA/RAC高可用部署等；6.具备良好的文档编写及沟通协调能力；7.有CI/CD自动化持续集成经验；8.熟练使用docker.dockerfile.docker-compoe等容器技术，有k8实际搭建使用经验者优先考虑；9.有java开发经验.DBA证书优先考虑；所需技能： Linux、Windows、服务器配置、MySQL、Tomcat,其他,外资（非欧美）,1000-5000人
联想云领,linux系统运维工程师,深圳,10-15K,本科,3-5年,系统运维 Python/Shell MySQL/Oracle Nginx,工作职责： 1.负责客户消费者云服务产品告警故障修复处理； 2.负责监控公司各种应用系统健康状态，并对告警进行及时响应及处理。3.负责客户消费者云服务全球业务的网上问题处理、变更实施、日常巡检、以及其他专项任务。4.对工作认真负责，责任心强，有较高的风险意识；5.有上进心，有一定的流程意识；任职要求：1.具备扎实的计算机理论基础，熟悉Linux操作系统常用命令；2.熟练使用mysql等主流关系型数据库（至少一种）的基本命令和操作；3.理解常用的网络通讯基础模型和协议(TCP、HTTP/HTTPS、UDP等)，善于在其基础上根据实际情况定位问题；4.掌握nginx，php，shell，python等脚本或语言（至少2种）；5.具有强烈的责任感及敬业精神，乐观、诚信、积极向上，具有良好的沟通、团队协作和创新的能力；有物联网行业项目开发经验者优先；6.计算机相关专业，本科全日制学历，本科1年以上工作经验，具备互联网产品维护经验者优先。,互联网,上市公司,500-1000人
